0:0:0:0:0:0:0:1 - - [10/Dec/2018:22:55:04 +0800] "GET /plailing/static/bootstrap-table/1.11.0/extensions/filter-control/bootstrap-table-filter-control.min.js HTTP/1.1" 200 10752
0:0:0:0:0:0:0:1 - - [10/Dec/2018:22:55:04 +0800] "GET /plailing/static/bootstrap-tour/0.11.0/js/bootstrap-tour.min.js HTTP/1.1" 200 20520
0:0:0:0:0:0:0:1 - - [10/Dec/2018:22:55:04 +0800] "GET /plailing/static/ravenjs/3.7.0/raven.min.js HTTP/1.1" 200 31645
0:0:0:0:0:0:0:1 - - [10/Dec/2018:22:55:04 +0800] "GET /plailing/static/bootstrap-table/1.11.0/locale/bootstrap-table-zh-CN.min.js HTTP/1.1" 200 951
0:0:0:0:0:0:0:1 - - [10/Dec/2018:22:55:04 +0800] "GET /plailing/static/bootstrap-table/1.11.0/bootstrap-table.min.js HTTP/1.1" 200 53581
0:0:0:0:0:0:0:1 - - [10/Dec/2018:22:55:04 +0800] "GET /plailing/app/dest/frontend/index.js?=2016121272249 HTTP/1.1" 200 135614
0:0:0:0:0:0:0:1 - - [10/Dec/2018:22:55:04 +0800] "GET /plailing/js/jquery.min-1.js HTTP/1.1" 200 93106
0:0:0:0:0:0:0:1 - - [10/Dec/2018:22:55:04 +0800] "GET /plailing/js/jquery-1.7.2.min.js HTTP/1.1" 200 94840
0:0:0:0:0:0:0:1 - - [10/Dec/2018:22:55:04 +0800] "GET /plailing/js/jquery.slider.js HTTP/1.1" 200 7456
0:0:0:0:0:0:0:1 - - [10/Dec/2018:22:55:04 +0800] "GET /plailing/img/footer-weixin.png HTTP/1.1" 200 12096
0:0:0:0:0:0:0:1 - - [10/Dec/2018:22:55:04 +0800] "GET /plailing/captcha HTTP/1.1" 200 2883
0:0:0:0:0:0:0:1 - - [10/Dec/2018:22:55:04 +0800] "GET /plailing/static/videojs/video.min.js HTTP/1.1" 200 274965
0:0:0:0:0:0:0:1 - - [10/Dec/2018:22:55:04 +0800] "GET /plailing/img/homepage-bg.png HTTP/1.1" 200 611769
0:0:0:0:0:0:0:1 - - [10/Dec/2018:22:55:04 +0800] "GET /plailing/static/font-awesome//4.7.0/css/fontawesome-webfont.woff2?v=4.7.0 HTTP/1.1" 200 77160
0:0:0:0:0:0:0:1 - - [10/Dec/2018:22:55:06 +0800] "GET /plailing/img/slider3.jpg HTTP/1.1" 200 22704
0:0:0:0:0:0:0:1 - - [10/Dec/2018:22:55:06 +0800] "GET /plailing/img/slider1.jpg HTTP/1.1" 200 56821
0:0:0:0:0:0:0:1 - - [10/Dec/2018:22:55:06 +0800] "GET /plailing/img/slider2.jpg HTTP/1.1" 200 67888
0:0:0:0:0:0:0:1 - - [10/Dec/2018:22:55:06 +0800] "GET /plailing/img/slider4.jpg HTTP/1.1" 200 91098
0:0:0:0:0:0:0:1 - - [10/Dec/2018:22:55:06 +0800] "GET /favicon.ico HTTP/1.1" 404 1016
